sample_size,distribution,method,empirical_coverage,coverage_adjusted_width
50,bimodal,t_interval,0.9448,4.426250686955954
50,bimodal,percentile_interval,0.9405,4.266930639886027
50,bimodal,bootstrap_t_interval,0.9566,4.458507230731985
50,lognormal,t_interval,0.8964,1.1972925405157593
50,lognormal,percentile_interval,0.898,1.131161093778813
50,lognormal,bootstrap_t_interval,0.934,1.5027550942019758
50,exponential,t_interval,0.9361,0.5649636853249352
50,exponential,percentile_interval,0.9345,0.5430639549290331
50,exponential,bootstrap_t_interval,0.9534,0.5985632155706235
50,student,t_interval,0.9515,0.7276571019954707
50,student,percentile_interval,0.9357,0.7020852480729177
50,student,bootstrap_t_interval,0.938,0.7342776347468966
1000,bimodal,t_interval,0.9527,0.9666127920688676
1000,bimodal,percentile_interval,0.9521,0.9644477257296562
1000,bimodal,bootstrap_t_interval,0.952,0.9663757473177719
1000,lognormal,t_interval,0.9449,0.2690758420166994
1000,lognormal,percentile_interval,0.9438,0.26775746000021117
1000,lognormal,bootstrap_t_interval,0.9464,0.2743688255728588
1000,exponential,t_interval,0.9505,0.12380494910552738
1000,exponential,percentile_interval,0.9493,0.12348811955196853
1000,exponential,bootstrap_t_interval,0.9527,0.12407488956260918
1000,student,t_interval,0.9499,0.1604231567597948
1000,student,percentile_interval,0.9493,0.16010827099420252
1000,student,bootstrap_t_interval,0.9477,0.16033763605980633
